X,Y,Z
2.733084064059787011e+01,-3.021669665249911318e+01,3.626210001292265872e+01
2.869134498364998365e+01,-3.021669665249911318e+01,3.569234536752483677e+01
3.005184932670208298e+01,-3.021669665249911318e+01,2.029148454392015921e+01
3.141235366975418231e+01,-3.021669665249911318e+01,4.125524489300426012e+01
3.277285801280629585e+01,-3.021669665249911318e+01,1.942846595285421785e+01
3.413336235585839518e+01,-3.021669665249911318e+01,2.002269223224381989e+01
3.549386669891049451e+01,-3.021669665249911318e+01,1.165320058231036526e+01
3.685437104196259384e+01,-3.021669665249911318e+01,1.040222666278153874e+01
3.821487538501470738e+01,-3.021669665249911318e+01,1.692295262456576310e+01
3.957537972806680671e+01,-3.021669665249911318e+01,-2.897177780769587230e+01
4.093588407111890604e+01,-3.021669665249911318e+01,1.697946065784323011e+01
4.229638841417100537e+01,-3.021669665249911318e+01,1.140441893805464701e+01
4.365689275722311891e+01,-3.021669665249911318e+01,2.018582036603085328e+01
4.501739710027521824e+01,-3.021669665249911318e+01,7.531680039171054553e+00
4.637790144332731757e+01,-3.021669665249911318e+01,1.304096732453026597e+01
4.773840578637941690e+01,-3.021669665249911318e+01,2.437993492525260564e+01
4.909891012943153044e+01,-3.021669665249911318e+01,1.021525621968752162e+01
5.045941447248362977e+01,-3.021669665249911318e+01,1.134185752524662227e+01
5.181991881553574331e+01,-3.021669665249911318e+01,8.588812699456136457e+00
5.318042315858784264e+01,-3.021669665249911318e+01,1.761074827504078044e+01
5.454092750163994197e+01,-3.021669665249911318e+01,1.125063507499067761e+01
-6.681767935704698402e+00,-2.954866143428917979e+01,7.882319362180817279e+01
-5.321263592652599073e+00,-2.954866143428917979e+01,3.294429588075707471e+01
-3.960759249600499743e+00,-2.954866143428917979e+01,1.714488985640867469e+01
-2.600254906548386202e+00,-2.954866143428917979e+01,1.747173651692550322e+01
-1.239750563496286873e+00,-2.954866143428917979e+01,1.810385546303411886e+01
1.207537795558124571e-01,-2.954866143428917979e+01,1.834535907152751477e+01
1.481258122607911787e+00,-2.954866143428917979e+01,1.884211851711124552e+01
2.841762465660025327e+00,-2.954866143428917979e+01,1.913665329996815956e+01
4.202266808712124657e+00,-2.954866143428917979e+01,1.869235043925396411e+01
5.562771151764223987e+00,-2.954866143428917979e+01,1.882190826890944280e+01
6.923275494816323317e+00,-2.954866143428917979e+01,2.269341584563962044e+01
8.283779837868436857e+00,-2.954866143428917979e+01,2.003458495465338984e+01
9.644284180920536187e+00,-2.954866143428917979e+01,1.863958485547271593e+01
1.100478852397263552e+01,-2.954866143428917979e+01,1.798358514007761855e+01
1.236529286702474906e+01,-2.954866143428917979e+01,1.752302192047448770e+01
1.372579721007684839e+01,-2.954866143428917979e+01,1.771548983868727944e+01
1.508630155312894772e+01,-2.954866143428917979e+01,1.780801591014527574e+01
1.644680589618104705e+01,-2.954866143428917979e+01,1.775734036572699637e+01
1.780731023923316059e+01,-2.954866143428917979e+01,1.792557046982996738e+01
